Month;Day;Hour;Second;LicencePlate;Damage;Injured;CloseCarCm;CloseGuardrailCm;SkidAngle
1;11;13;39;CT 664PAZ;;;12;;
1;16;4;58;LH 700SDV;;;13;;
1;14;22;55;MN 514BHA;41000;;;;
1;7;22;14;NS 916WAC;;;18;;
1;16;4;45;NA 663TXV;;;11;;
1;17;9;18;CJ 795FKL;;;;17;
1;4;23;15;MZ 588ASW;;;20;;
1;2;24;59;BC 385MPF;;;16;;
1;18;1;11;MK 826QJL;;;16;;
1;25;19;15;BF 670DXS;;;12;;
1;2;11;36;MC 761RZN;;;4;;
1;10;9;54;MD 828IIQ;;;14;;
1;23;10;59;MI 108ZDP;;;10;;
1;31;5;12;GK 308ILY;;;19;;
1;20;3;17;LV 569QVP;;;13;;
1;14;8;29;WA 302BZX;;;4;;
1;3;20;26;WZ 530EAN;;;5;;
1;16;18;3;GQ 978PSA;;;20;;
1;4;22;16;GD 654XJI;;;15;;
1;27;10;20;GD 439OAH;;;15;;
1;25;15;21;CO 316KGS;;;11;;
1;20;16;15;SX 530AXV;;;20;;
1;22;1;26;CI 263ZRO;;;11;;
1;18;24;24;CP 651YZL;;;16;;
1;17;6;53;SX 726MWL;;;16;;
1;10;13;39;CZ 655ODX;;;;6;
1;27;24;22;BC 489YJA;;;20;;
1;16;12;40;NV 848QXQ;;;8;;
1;16;19;58;GV 516HVC;;;13;;
1;25;22;42;LL 707WMD;;;16;;
1;15;23;28;MP 583FEC;;;10;;
1;5;12;23;ST 649QFI;;;14;;
1;30;17;46;GP 949JCU;;;18;;
1;14;3;20;WZ 233YIC;;;18;;
1;25;22;45;KQ 761UVO;;;13;;
1;2;24;57;GK 948ILK;;;20;;
1;14;18;11;CM 189WGM;;;20;;
1;26;16;47;MW 434PPX;;;15;;
1;24;13;38;CU 299ERM;;;15;;
1;27;8;24;MZ 180DQP;;;11;;
1;4;5;1;MV 802QTN;;;4;;
1;8;8;8;KN 113RNB;;;17;;
1;8;17;28;KD 122SEV;;;20;;
1;11;14;13;WX 180YET;;;12;;
1;4;17;17;GP 470PSY;;;13;;
1;17;24;19;GG 878CWZ;;;17;;
1;19;18;20;LK 872ZRY;;;;19;
1;22;16;36;KZ 837YHX;;;19;;
1;5;3;2;SI 827RUR;;;20;;
1;5;8;51;SU 402RYU;;;12;;
1;21;14;18;SB 816EQL;;;;14;
1;27;18;1;SQ 924MCK;;;9;;
1;23;8;41;MA 582ZWK;;;20;;
1;9;13;12;KI 651KDX;;;7;;
1;11;23;8;LB 706PMG;;;20;;
1;31;9;39;GQ 610MZQ;;;20;;
1;1;16;42;NU 872NOE;;;16;;
1;31;17;9;SE 669LPA;;;20;;
1;10;21;43;LK 756TCN;;;20;;
1;7;6;21;GX 334BWS;;;;11;
1;25;19;38;LU 773BZZ;;;12;;
1;4;15;21;CN 313HNU;;;14;;
1;23;17;35;MF 218TIG;38000;;;;
1;26;15;23;MZ 754FDA;;;14;;
1;7;20;59;GS 576GGP;;;17;;
1;20;4;58;NH 980PWB;;;20;;
1;31;15;5;MV 679WFF;;;17;;
1;14;9;20;SB 169LIA;;;15;;
1;2;1;13;KH 651IMM;;;16;;
1;8;5;26;WE 730WAW;;;20;;
1;8;4;44;GU 551BLS;;;20;;
1;15;14;13;NQ 715TNZ;;;20;;
1;25;11;31;CM 944JSI;;;18;;
1;29;21;12;MO 103ACI;;;20;;
1;27;3;31;CM 539JGL;;;;6;
1;16;9;5;CM 967PSL;;;19;;
1;26;11;2;KA 583KCJ;;;11;;
1;11;17;23;WD 611WKZ;;;4;;
1;11;1;54;GE 318YJY;;;17;;
1;5;3;24;KZ 701DBY;;;;9;
1;3;11;25;GT 212LMX;;;15;;
1;2;12;28;CY 327OLR;;;10;;
1;15;19;26;MN 685ZRF;;;18;;
1;14;7;9;NJ 548CBT;;;11;;
1;23;18;37;WV 529IWC;;;17;;
1;18;5;52;KG 644ZPG;;;20;;
1;22;10;9;LH 188MLE;;;12;;
1;24;4;5;SY 834TQB;;;11;;
1;18;7;54;CJ 176VHO;;;13;;
1;17;9;35;BT 293FSR;;;18;;
1;16;14;35;NI 376OLM;;;20;;
1;8;11;37;KT 878UUM;;;12;;
1;16;17;37;SG 312NTN;;;20;;
1;10;8;36;MP 928BWE;;;12;;
1;31;16;10;WM 766FZT;;;5;;
1;14;23;55;LS 575HCK;;;20;;
1;4;24;42;LR 662ACH;;;7;;
1;12;19;23;WV 529GLW;;;8;;
1;28;12;45;CE 211CKJ;;;18;;
1;9;23;8;KF 740DLG;;;16;;
1;22;22;31;CT 595RYZ;;;20;;
1;24;18;3;MI 407DYT;;;;20;
1;28;19;42;LC 152UGY;;;15;;
1;13;5;3;SK 526YZC;;;20;;
1;13;17;12;WD 234OZN;;;6;;
1;26;20;35;KH 264HCY;;;13;;
1;23;12;27;SK 866GCL;;;15;;
1;5;17;44;SC 757JAU;;;17;;
1;15;5;47;WU 851RLB;;;12;;
1;29;2;5;GJ 669XWJ;;;13;;
1;2;16;24;WV 845YRJ;;;;16;
1;2;16;7;KR 844FOH;;;20;;
1;29;17;17;GP 475WTM;;;19;;
1;11;16;10;LD 790OMR;;;10;;
1;26;14;5;WR 603ZKF;;;14;;
1;9;5;16;MV 374DHG;;;8;;
1;14;16;2;WD 845TAA;;;;;35
1;2;8;40;CH 626WPU;;;17;;
1;31;15;53;WX 471XWP;;;19;;
1;7;21;41;LV 284ASH;;;11;;
1;31;23;47;WT 652CLW;;;4;;
1;17;13;47;WJ 730WSC;;;;15;
1;19;1;22;KL 189CMQ;;;14;;
1;4;1;11;WH 333RKO;;;17;;
1;21;14;34;BV 913MKK;;;14;;
1;23;3;22;KS 528JLJ;;;;11;
1;3;16;23;MV 193PIQ;;;20;;
1;5;8;47;SQ 445TFK;;;4;;
1;18;23;5;GR 400JFZ;;;;7;
1;11;11;50;WB 812PQD;;;;18;
1;25;13;0;WL 291MDU;;;18;;
1;3;23;58;WJ 453FFU;;;8;;
1;30;13;43;WK 460XSH;;;13;;
1;28;19;42;NH 479HFV;;;20;;
1;31;7;6;ST 821TOR;;;11;;
1;11;22;48;BG 532ZIZ;;;20;;
1;28;3;1;SB 309SLY;;;16;;
1;11;5;5;NJ 932WWF;;;14;;
1;27;4;51;CU 856FJF;;;11;;
1;14;16;10;CZ 389QNH;;;12;;
1;29;21;10;NE 493APD;;;10;;
1;25;6;9;ST 255PSP;;;11;;
1;19;7;14;WE 264VRL;;;5;;
1;6;23;41;KF 857EQT;;;13;;
1;18;1;44;WW 912ELD;;;16;;
1;20;4;13;LT 806CHO;;;18;;
1;20;7;35;CZ 974UFU;;;9;;
1;2;7;15;GZ 366OKZ;;;1;;
1;8;18;15;KJ 736RRK;;;20;;
1;15;4;55;LS 489RGB;;;18;;
1;14;20;49;CU 871CXH;;;11;;
1;29;4;43;LD 390ZLR;;;;15;
1;1;11;34;NQ 222BEW;;;16;;
1;26;15;19;WR 938ADG;;;9;;
1;11;17;39;MA 174KUL;;;15;;
1;17;10;18;KL 958XHU;19000;5;;;
1;5;4;46;KB 608SPL;;;13;;
1;20;23;54;SC 522IGZ;;;17;;
1;11;8;32;BL 711SBR;;;13;;
1;22;11;14;KL 256AEX;;;;16;
1;24;9;23;BS 408XJY;;;19;;
1;22;8;31;SI 262CGP;;;20;;
1;12;12;50;NQ 497OIO;;;20;;
1;26;23;28;GN 215LRH;;;8;;
1;29;13;27;BD 146XQG;;;9;;
1;28;17;27;CE 899EVP;;;10;;
1;5;2;51;GX 976NPF;;;20;;
1;29;24;19;KI 927SYA;;;18;;
1;11;7;41;WS 947QIU;;;15;;
1;19;19;41;CV 268KOF;;;14;;
1;26;16;42;WL 106OYX;6000;1;;;
1;4;18;14;SJ 106PAM;;;17;;
1;24;21;30;CR 600DZT;;;;15;
1;4;5;55;NC 636IUA;;;18;;
1;25;13;37;LE 724WZG;;;15;;
1;13;10;40;CS 453SHE;;;14;;
1;10;5;10;WZ 403NJQ;;;20;;
1;17;6;40;LB 375VSC;;;16;;
1;26;6;5;BB 169FAX;;;6;;
1;16;20;50;SD 964HST;;;;20;
1;28;9;32;MS 161SFU;;;20;;
1;15;3;17;BY 673PLE;;;20;;
1;19;19;48;NI 694QPO;;;20;;
1;19;22;26;WH 973IGS;;;;;39
1;5;24;38;CC 510CJJ;;;11;;
1;21;15;13;LZ 870OBZ;;;;;30
1;9;19;37;WX 661RRT;;;16;;
1;10;1;6;LF 592TMI;;;10;;
1;5;3;2;GW 870VYS;;;14;;
1;9;5;14;CU 530RND;;;17;;
1;6;12;58;MR 785TXP;;;4;;
1;3;11;6;CK 718LVX;;;18;;
1;29;4;6;LA 239OFF;;;10;;
1;5;15;14;LM 919RYR;;;20;;
1;1;13;41;LQ 794USH;;;10;;
1;10;6;15;LN 895BZC;;;12;;
1;22;24;39;SK 234DNN;;;10;;
1;31;24;9;MW 836NYK;;;7;;
1;26;24;23;CJ 449TAF;;;9;;
1;24;23;7;BY 780VYO;;;15;;
1;11;5;40;LN 947DBF;;;20;;
1;12;22;26;BW 662ZIQ;;;;18;
1;16;9;52;LJ 765OLN;;;9;;
1;3;23;57;GD 989GBQ;;;12;;
1;26;4;32;CU 180RLK;;;19;;
1;4;14;23;BN 549ZKK;;;20;;
1;30;21;50;MG 386JCP;;;17;;
1;29;1;31;NN 871PNI;;;12;;
1;11;5;26;SC 711LSQ;;;20;;
1;12;20;37;BU 371TGL;;;14;;
1;21;15;47;KE 301FAV;;;8;;
1;28;5;43;SR 863APV;;;15;;
1;30;15;50;NU 660EPE;;;20;;
1;17;4;54;BK 547GBL;;;19;;
1;9;3;13;BS 175LXO;;;19;;
1;27;5;51;LP 531FVF;;;11;;
1;3;2;29;KJ 169VKG;;;20;;
1;27;2;28;GF 540GYX;;;13;;
1;11;14;41;NJ 916WJP;;;18;;
1;22;1;42;SZ 916TRS;;;12;;
1;1;22;45;SL 175CYP;;;;;51
1;3;4;17;CQ 157TJV;;;19;;
1;1;9;34;KE 293LDF;;;16;;
1;1;13;1;WK 796FQR;;;16;;
1;3;3;39;BX 326CXP;;;11;;
1;22;17;12;NL 147QFF;;;15;;
1;3;5;43;KK 469DGI;;;20;;
1;3;20;2;CF 630NVC;;;12;;
1;2;11;52;CK 741CHU;;;11;;
1;7;5;25;GY 385QNH;;;16;;
1;20;18;45;WU 129HMF;;;9;;
1;13;11;10;SZ 751GQF;;;12;;
1;3;1;31;CK 200BXV;;;17;;
1;6;12;58;GX 633OMV;;;16;;
1;30;24;30;KM 221DZM;;;20;;
1;22;13;49;SP 164FWU;;;16;;
1;11;14;59;BB 944TPO;;;20;;
1;12;13;50;WG 144MND;;;;12;
1;21;19;11;MV 271WYM;;;17;;
1;8;24;18;NN 578PRI;;;;20;
1;11;15;34;LO 541VJK;;;7;;
1;21;10;29;SK 220VPF;;;16;;
1;19;1;32;NK 374IET;;;17;;
1;27;12;31;LR 812MYD;;;14;;
1;16;22;0;GR 564MLB;;;19;;
1;12;18;16;MK 811DQN;;;20;;
1;7;21;52;CT 263ZFH;;;20;;
1;1;12;3;BI 688YWR;;;13;;
1;17;14;13;KP 198QIS;;;15;;
1;22;12;40;WY 887GQG;;;19;;
1;11;4;18;SI 366MLF;;;7;;
1;21;21;29;GS 170BLI;;;19;;
1;11;22;37;LE 339FGM;;;20;;
1;24;22;10;KK 793FLA;;;19;;
1;15;14;54;BU 409WBV;;;;15;
1;27;9;46;LK 192EYX;;;13;;
1;22;13;38;KO 908DZV;;;20;;
1;8;18;35;BD 992JWR;;;15;;
1;4;15;54;WD 165TKJ;;;10;;
1;14;10;46;KZ 296HGA;27000;;;;
1;24;23;2;CS 435NDQ;;;9;;
1;18;16;50;KL 293MGV;;;6;;
1;1;8;50;KE 754RWG;;;8;;
1;8;9;12;WH 549JQX;;;16;;
1;15;18;31;SG 755VWA;;;16;;
1;17;21;26;KK 515VOT;;;20;;
1;19;24;59;NW 270TIA;;;12;;
1;7;3;7;KV 528HGQ;;;8;;
1;15;24;1;BT 361ALO;;;20;;
1;30;10;6;MU 524BFA;;;20;;
1;15;7;48;MD 972LGY;;;6;;
1;5;6;5;GQ 893UUM;;;8;;
1;20;19;3;SW 488OTX;;;15;;
1;19;21;44;BM 518ZDZ;;;17;;
1;11;20;56;NM 873ZVG;;;17;;
1;1;17;4;LO 771BOF;;;;14;
1;3;1;30;WJ 828HHA;;;19;;
1;17;11;18;CH 933WDJ;;;20;;
1;8;17;43;NW 779PKF;;;6;;
1;15;21;2;ND 937QHB;;;11;;
1;9;13;41;WO 551TCK;;;16;;
1;25;8;12;WS 764CVV;;;9;;
1;1;16;32;SK 111UOV;;;13;;
1;26;1;58;KV 373NHU;;;1;;
1;22;3;16;SJ 665XSF;;;20;;
1;6;18;0;SU 848QSJ;;;8;;
1;14;9;13;NE 302XQX;;;19;;
1;19;17;18;MX 195YTI;;;;14;
1;21;21;55;LI 240CKB;;;16;;
1;11;14;12;SI 541VXA;;;16;;
1;18;13;22;SL 929TEB;;;;;31
1;22;18;41;CB 833AZA;;;;12;
1;27;6;20;SI 654BKW;;;20;;
1;15;2;5;GK 443BZJ;;;20;;
1;7;1;17;CM 925DNF;;;11;;
1;13;9;51;LK 898ESL;;;17;;
1;5;21;8;NH 730COS;;;13;;
1;20;11;28;MK 686VPI;;;;12;
1;24;19;58;CV 403VBI;;;15;;
1;27;17;12;LF 411JKO;;;;5;
1;26;6;19;CS 740RQL;;;20;;
1;22;20;10;LM 188CZT;;;20;;
1;1;7;12;WP 859PIC;;;13;;
1;4;12;44;KP 671UNX;;;18;;
1;5;24;6;SB 332LLN;;;15;;
1;24;4;44;KQ 686UQH;;;9;;
1;18;4;31;BS 283STX;;;;18;
1;19;13;56;NI 263OLF;;;19;;
1;22;12;3;BS 748CIP;;;20;;
1;7;14;9;GR 107JNL;;;;;48
1;15;8;4;MK 404VFK;;;9;;
1;31;7;33;NE 416IYQ;;;8;;
1;29;23;57;NP 628AWL;;;20;;
1;20;5;8;MO 612LSC;;;14;;
1;7;18;3;BZ 852CAR;;;12;;
1;16;22;13;NL 484DMP;;;17;;
1;25;16;54;GG 843PDU;;;19;;
1;16;4;34;GX 145GXB;;;19;;
1;17;24;7;NT 903JDB;;;20;;
1;28;3;37;CH 331HRZ;;;13;;
1;1;7;44;LT 162BUI;;;13;;
1;14;2;52;MS 392VYV;;;17;;
1;23;6;57;LW 253KJF;;;19;;
1;17;19;44;WF 539POD;;;20;;
1;21;3;10;CT 607ARO;;;13;;
1;9;3;54;CX 152KRM;;;11;;
1;6;14;35;GA 253QOZ;;;8;;
1;16;4;5;LU 367TIW;;;12;;
1;6;7;37;ND 332YBY;;;4;;
1;11;14;34;CU 731TCE;49000;;;;
1;21;18;1;GB 694FYJ;;;12;;
1;24;2;58;BL 349HFV;;;1;;
1;2;17;1;BJ 917EQF;;;18;;
1;13;10;17;LE 711HFO;;;12;;
1;26;9;25;CK 941UYP;;;9;;
1;24;9;41;ML 783GSQ;;;18;;
1;27;3;2;ST 743AOU;;;20;;
1;20;9;44;LQ 890SJH;17000;;;;
1;27;6;35;WK 276IIM;;;19;;
1;18;3;19;CS 481KAM;;;20;;
1;25;9;26;BJ 306ODX;;;14;;
1;19;20;53;BR 800NUC;;;;20;
1;3;14;9;MY 483HTH;;;13;;
1;27;3;48;WB 765QQJ;;;10;;
1;3;11;2;GC 225FIF;;;20;;
1;28;22;16;NR 834PAU;;;15;;
1;30;20;26;NU 763NPJ;;;15;;
1;4;23;24;CZ 579EYL;;;16;;
1;17;14;9;WL 848YJV;;;17;;
1;20;21;33;ST 746CKM;;;3;;
1;3;15;29;NZ 871SFD;;;14;;
1;13;9;20;GO 568JDH;;;10;;
1;7;23;35;CS 299CEM;;;19;;
1;23;1;39;NV 899VGW;;;19;;
1;9;12;40;MS 826BBX;;;4;;
1;10;7;25;SE 708UMW;;;14;;
1;24;16;9;BN 708UJP;;;12;;
1;6;18;13;WU 309KVR;;;17;;
1;9;5;41;BM 962ZNL;;;12;;
1;3;21;31;GX 800PJF;;;9;;
1;17;14;3;BC 454ETS;;;20;;
1;27;13;10;LX 946UKC;8000;;;;
1;29;21;54;CG 506UAD;;;20;;
1;4;15;36;SN 492YRC;;;11;;
1;24;15;45;KD 305RTV;;;;;
1;1;9;17;MJ 505SGO;;;16;;
1;7;12;19;LN 750RDD;;;15;;
1;8;19;40;BN 978ZYJ;;;10;;
1;12;6;43;KR 712NGO;;;11;;
1;2;9;7;WW 245MMI;;;20;;
1;27;9;20;KO 290TQS;;;20;;
1;29;11;48;WU 798CVH;;;13;;
1;24;5;18;KC 157TBS;;;18;;
1;11;9;9;LF 967OVU;;;;10;
1;4;1;13;SX 304WUW;;;20;;
1;19;10;56;KC 842DHT;;;17;;
1;7;7;41;BF 229HCT;;;11;;
1;4;8;42;ND 978QNI;;;6;;
1;13;22;59;LS 106KRQ;;;2;;
1;25;24;1;SD 578XFS;;;9;;
1;5;6;57;SZ 608PDX;;;9;;
1;28;2;14;LW 411AMU;;;17;;
1;5;12;25;CS 626DWO;;;20;;
1;16;18;14;MV 806ISH;;;20;;
1;6;9;19;NI 787BJX;;;13;;
1;5;3;53;SL 119CUE;;;20;;
1;11;22;18;BJ 626SUK;;;5;;
1;17;17;45;KR 173OME;;;13;;
1;8;20;42;KO 764SCF;;;15;;
1;17;4;32;BT 198LSH;;;15;;
1;23;17;34;KE 927UGO;;;;10;
1;8;15;56;NR 595QPM;;;13;;
1;14;2;2;LC 421SPO;;;13;;
1;10;21;52;MH 324LNY;;;9;;
1;23;15;48;BE 197FCD;;;;19;
1;30;12;46;MM 970IAF;13000;5;;;
1;20;8;49;WG 224GAI;;;14;;
1;28;20;19;BK 194OAW;;;13;;
1;8;23;5;CF 732HGC;;;;;30
1;29;23;16;SV 881FOX;;;17;;
1;31;2;55;BH 303DYH;;;12;;
1;25;23;14;BF 148QND;;;17;;
1;9;3;54;WC 832XEA;;;20;;
1;30;24;46;GY 582IDL;;;11;;
1;4;14;21;GK 458RKX;;;20;;
1;1;13;34;GQ 477SNI;;;20;;
1;9;16;35;CU 868NUP;;;20;;
1;31;22;30;NR 501AGM;;;14;;
1;20;21;46;BT 835BRZ;;;20;;
1;10;14;20;WW 511URB;;;18;;
1;4;23;3;MG 275IDG;;;18;;
1;1;23;52;WN 226XZW;;;19;;
1;11;3;53;MO 647DYG;;;12;;
1;20;6;46;MX 462WIA;;;20;;
1;6;12;48;WH 419CNC;;;17;;
1;2;1;16;WV 131XMR;;;10;;
1;13;20;37;KJ 623MLT;;;20;;
1;24;21;20;BA 324VJL;;;20;;
1;23;24;57;LF 112UJB;;;;;30
1;31;21;18;NU 304SGZ;;;20;;
1;20;17;55;GT 706BMD;;;20;;
1;15;18;32;KX 608BAN;;;;7;
1;11;23;18;NP 519PAK;;;20;;
1;15;24;48;WT 206TKC;;;11;;
1;15;4;34;CT 103HJL;;;9;;
1;17;5;23;LA 196EUH;;;15;;
1;8;14;49;MD 355BRJ;;;11;;
1;26;19;16;BA 287WPC;;;19;;
1;15;12;43;BH 763FIW;;;20;;
1;24;3;53;NY 297RFW;;;4;;
1;16;13;30;CA 598LQI;;;15;;
1;29;9;47;NV 481QND;;;10;;
1;8;24;51;GL 514FQZ;;;12;;
1;14;21;51;MY 933VYJ;;;19;;
1;21;5;41;NO 173FPD;;;20;;
1;16;24;22;MR 138WEB;;;5;;
1;6;9;49;MN 739ZSS;;;16;;
1;16;6;29;SG 651AQX;;;12;;
1;29;12;54;CC 583YTD;;;19;;
1;17;16;2;SX 128TJJ;36000;1;;;
1;23;15;46;BW 594DRS;;;13;;
1;25;9;22;KJ 930AEH;;;20;;
1;7;13;16;GJ 293LMF;;;20;;
1;30;24;37;BU 468YAF;;;10;;
1;19;18;10;BE 706YKB;;;20;;
1;22;11;17;SA 320GTQ;;;18;;
1;22;23;45;WI 694APU;;;17;;
1;13;8;41;WZ 938HDR;;;6;;
1;4;17;9;BH 962WNJ;;;15;;
1;30;21;7;MO 990AWV;;;;15;
1;3;20;3;CO 651MPD;;;17;;
1;25;12;16;GQ 534LJD;;;16;;
1;27;10;24;WK 332YZG;;;11;;
1;30;1;58;LI 761ZDX;;;20;;
1;5;14;13;KN 402UCJ;;;6;;
1;8;15;43;NC 982OPE;;;10;;
1;24;4;0;BB 175QAI;;;9;;
1;30;20;31;ST 950HFC;;;15;;
1;3;7;50;GU 394ONF;;;20;;
1;1;1;13;NB 983QRE;;;9;;
1;2;11;18;WE 335ETH;;;8;;
1;15;9;21;NB 731QMG;;;11;;
1;7;19;44;BA 293FFD;;;;18;
1;18;11;39;WX 315JYL;;;19;;
1;30;12;28;NV 961BHV;;;14;;
1;14;22;36;NO 207LFS;;;20;;
1;21;16;47;ST 819CQB;;;12;;
1;7;5;39;CP 348LZV;;;8;;
1;24;10;7;GJ 958SAU;;;17;;
1;28;9;51;BM 337XRH;;;19;;
1;6;13;42;SZ 438HBV;;;14;;
1;28;17;44;GN 799FXO;;;13;;
1;6;11;37;NC 629ITG;;;14;;
1;22;21;18;CT 183ODS;;;11;;
1;22;3;55;BM 861UFO;;;20;;
1;9;18;39;BY 806XOI;;;11;;
1;20;6;24;MJ 688ZRU;;;20;;
1;5;12;22;NW 842FAN;;;17;;
1;15;20;18;MH 921XXJ;;;14;;
1;1;4;29;WC 975LHN;;;11;;
1;19;10;59;LJ 276MOD;;;15;;
1;25;15;57;NM 510NXG;;;20;;
1;21;3;59;SB 869PZH;;;8;;
1;1;5;3;SA 774SBQ;;;13;;
1;22;2;7;WR 493JNC;;;11;;
1;10;6;58;WM 240YIO;;;20;;
1;17;15;33;WS 841BKR;;;5;;
1;17;10;19;NH 723GHW;;;17;;
1;20;9;44;CV 303JHA;;;;13;
1;26;15;53;KM 551GAC;;;15;;
1;15;6;40;KY 116AXL;;;20;;
1;28;21;31;MO 329QVS;;;9;;
1;17;22;10;MB 686FRU;;;15;;
1;14;13;51;NG 752LRW;;;14;;
1;23;21;41;WP 110VWI;;;17;;
1;16;9;44;LT 281BMI;;;;11;
1;16;8;21;BI 667TLM;;;11;;
1;20;17;19;WD 946MGA;;;17;;
1;25;10;52;CM 660KZZ;;;10;;
1;17;14;35;CK 392FUA;;;20;;
1;21;12;16;GT 646OEA;;;14;;
1;2;6;41;CC 510PUY;;;17;;
1;24;21;48;SO 788QYB;;;11;;
1;1;18;42;LY 746CYU;;;14;;
1;16;22;15;WR 826XKX;;;20;;
1;19;2;11;BP 948DGK;;;13;;
1;12;15;26;KW 475OEQ;;;17;;
1;4;8;0;KD 321XOC;;;19;;
1;6;1;3;MJ 910GNO;;;20;;
1;16;17;26;MA 585LKX;;;16;;
1;5;12;20;ST 332NAK;;;8;;
1;24;7;35;MJ 836JIW;;;8;;
1;20;12;57;GR 363NKN;;;19;;
1;10;5;51;BW 835DOH;;;10;;
1;13;20;43;GI 249AYV;;;7;;
1;9;11;4;NN 652BPO;;;17;;
1;7;12;32;MS 923OSX;;;16;;
1;29;19;12;MY 207QZB;;;11;;
1;28;7;0;GP 523LUU;;;;11;
1;9;22;35;BW 185UTQ;;;17;;
1;29;15;59;MV 146NGX;46000;;;;
1;18;7;12;SB 246KSO;;;6;;
1;21;21;18;CU 764RKE;;;7;;
1;14;21;40;SN 661PPT;;;17;;
1;12;17;39;BR 666EOY;;;;9;
1;7;3;9;CU 140IXI;;;10;;
1;25;10;11;KS 474DOH;;;9;;
1;9;12;38;BB 974JZF;;;18;;
1;22;22;16;BX 197JBL;;;13;;
