Month;Day;Hour;Minute;Second;Sensor;Value
1;2;6;54;5;2;0,13
1;2;6;54;5;9;0,12
1;2;6;54;5;12;0,12
1;2;6;54;5;1;0,00
1;2;6;54;5;8;0,00
1;2;6;54;5;11;0,00
1;2;6;54;5;4;72,31
1;2;6;54;5;15;3,65
1;2;6;54;5;18;3,64
1;2;6;54;5;19;3,61
1;2;6;57;49;6;0,00
1;2;7;10;45;3;105,25
1;2;7;13;25;5;98,00
1;2;7;13;25;14;0,00
1;2;7;13;25;13;83,00
1;2;7;13;25;2;7976,17
1;2;7;13;25;9;8733,91
1;2;7;13;25;12;8159,62
1;2;7;13;25;1;0,00
1;2;7;13;25;8;0,00
1;2;7;13;25;11;0,00
1;2;7;13;25;4;71,67
1;2;7;13;25;15;2,63
1;2;7;13;25;18;2,55
1;2;7;13;25;19;2,39
1;2;7;16;56;16;25,10
1;2;7;56;55;-1;80,00
1;2;7;58;20;6;0,00
1;2;8;9;47;16;24,46
1;2;8;22;41;-1;80,00
1;2;8;23;3;5;0,00
1;2;8;23;3;14;5,00
1;2;8;23;3;13;0,00
1;2;8;23;3;2;17289,19
1;2;8;23;3;9;16217,26
1;2;8;23;3;12;17565,82
1;2;8;23;3;1;0,00
1;2;8;23;3;8;0,00
1;2;8;23;3;11;0,00
1;2;8;23;3;4;79,87
1;2;8;23;3;15;0,26
1;2;8;23;3;18;0,27
1;2;8;23;3;19;0,28
1;2;8;32;51;6;6,00
1;2;8;33;28;3;105,05
1;2;9;3;21;3;104,40
1;2;9;9;45;6;0,00
1;2;9;14;59;16;23,14
1;2;9;34;13;5;0,00
1;2;9;34;13;14;7,00
1;2;9;34;13;13;10,00
1;2;9;34;13;2;50500,06
1;2;9;34;13;9;53429,06
1;2;9;34;13;12;53580,56
1;2;9;34;13;1;0,00
1;2;9;34;13;8;0,00
1;2;9;34;13;11;0,00
1;2;9;34;13;4;71,74
1;2;9;34;13;15;0,74
1;2;9;34;13;18;0,77
1;2;9;34;13;19;0,76
1;2;9;37;6;-1;80,00
1;2;10;7;47;6;17,00
1;2;10;17;40;3;101,07
1;2;10;35;9;5;39,00
1;2;10;35;9;14;29,00
1;2;10;35;9;13;30,00
1;2;10;35;9;2;66496,18
1;2;10;35;9;9;67560,11
1;2;10;35;9;12;62173,92
1;2;10;35;9;1;0,00
1;2;10;35;9;8;0,00
1;2;10;35;9;11;0,00
1;2;10;35;9;4;85,19
1;2;10;35;9;15;0,01
1;2;10;35;9;18;0,01
1;2;10;35;9;19;0,01
1;2;10;43;3;16;21,00
1;2;10;54;2;-1;80,00
1;2;11;14;26;6;1,00
1;2;11;15;47;3;101,75
1;2;11;26;9;-1;80,00
1;2;11;40;12;16;21,00
1;2;11;52;52;5;77,00
1;2;11;52;52;14;7,00
1;2;11;52;52;13;70,00
1;2;11;52;52;2;105300,10
1;2;11;52;52;9;99508,59
1;2;11;52;52;12;103510,00
1;2;11;52;52;1;0,00
1;2;11;52;52;8;0,00
1;2;11;52;52;11;0,00
1;2;11;52;52;4;74,99
1;2;11;52;52;15;0,91
1;2;11;52;52;18;0,83
1;2;11;52;52;19;0,89
1;2;12;7;14;6;0,00
1;2;12;12;6;-1;80,00
1;2;12;15;39;3;104,94
1;2;12;20;55;16;23,55
1;2;12;29;7;5;0,00
1;2;12;29;7;14;7,00
1;2;12;29;7;13;10,00
1;2;12;29;7;2;110000,11
1;2;12;29;7;9;120010,12
1;2;12;29;7;12;105380,10
1;2;12;29;7;1;0,00
1;2;12;29;7;8;0,00
1;2;12;29;7;11;0,00
1;2;12;29;7;4;83,55
1;2;12;29;7;15;3,42
1;2;12;29;7;18;3,35
1;2;12;29;7;19;3,34
1;2;13;16;30;16;25,10
1;2;13;21;50;5;0,00
1;2;13;21;50;14;0,00
1;2;13;21;50;13;0,00
1;2;13;21;50;2;101100,00
1;2;13;21;50;9;96247,20
1;2;13;21;50;12;103829,70
1;2;13;21;50;1;0,00
1;2;13;21;50;8;0,00
1;2;13;21;50;11;0,00
1;2;13;21;50;4;84,93
1;2;13;21;50;15;6,38
1;2;13;21;50;18;6,51
1;2;13;21;50;19;6,08
1;2;13;22;51;3;105,94
1;2;13;50;40;6;0,00
1;2;13;54;34;-1;80,00
1;2;14;4;40;5;41,00
1;2;14;4;40;14;0,00
1;2;14;4;40;13;47,00
1;2;14;4;40;2;99600,07
1;2;14;4;40;9;101791,27
1;2;14;4;40;12;109360,88
1;2;14;4;40;1;0,00
1;2;14;4;40;8;0,00
1;2;14;4;40;11;0,00
1;2;14;4;40;4;82,56
1;2;14;4;40;15;10,01
1;2;14;4;40;18;10,66
1;2;14;4;40;19;11,63
1;2;14;10;51;-1;80,00
1;2;14;11;55;3;104,51
1;2;14;31;29;6;0,00
1;2;14;45;56;16;23,94
1;2;15;1;41;6;0,00
1;2;15;12;55;-1;80,00
1;2;15;26;31;16;23,14
1;2;15;34;17;3;104,39
1;2;15;46;42;5;0,00
1;2;15;46;42;14;1,00
1;2;15;46;42;13;12,00
1;2;15;46;42;2;58089,91
1;2;15;46;42;9;55882,49
1;2;15;46;42;12;57218,56
1;2;15;46;42;1;0,00
1;2;15;46;42;8;0,00
1;2;15;46;42;11;0,00
1;2;15;46;42;4;75,76
1;2;15;46;42;15;11,50
1;2;15;46;42;18;10,71
1;2;15;46;42;19;9,92
1;2;16;1;47;6;0,00
1;2;16;11;59;16;21,00
1;2;16;27;20;-1;80,00
1;2;16;49;59;5;0,00
1;2;16;49;59;14;0,00
1;2;16;49;59;13;0,00
1;2;16;49;59;2;57145,17
1;2;16;49;59;9;61031,04
1;2;16;49;59;12;61031,04
1;2;16;49;59;1;0,00
1;2;16;49;59;8;0,00
1;2;16;49;59;11;0,00
1;2;16;49;59;4;73,27
1;2;16;49;59;15;11,40
1;2;16;49;59;18;12,27
1;2;16;49;59;19;11,75
1;2;16;59;25;3;100,21
1;2;17;22;47;16;19,44
1;2;17;30;0;5;0,00
1;2;17;30;0;14;13,00
1;2;17;30;0;13;0,00
1;2;17;30;0;2;23715,06
1;2;17;30;0;9;25991,71
1;2;17;30;0;12;23027,33
1;2;17;30;0;1;0,00
1;2;17;30;0;8;0,00
1;2;17;30;0;11;0,00
1;2;17;30;0;4;74,91
1;2;17;30;0;15;9,25
1;2;17;30;0;18;8,78
1;2;17;30;0;19;8,09
1;2;17;48;50;-1;80,00
1;2;17;53;29;6;0,00
1;2;17;53;37;3;99,89
1;2;18;5;19;6;0,00
1;2;18;5;57;3;96,50
1;2;18;17;37;16;17,75
1;2;18;30;34;-1;60,00
1;2;18;39;37;5;0,00
1;2;18;39;37;14;13,00
1;2;18;39;37;13;0,00
1;2;18;39;37;2;0,13
1;2;18;39;37;9;0,14
1;2;18;39;37;12;0,13
1;2;18;39;37;1;0,00
1;2;18;39;37;8;0,00
1;2;18;39;37;11;0,00
1;2;18;39;37;4;75,05
1;2;18;39;37;15;7,06
1;2;18;39;37;18;6,83
1;2;18;39;37;19;6,86
1;2;19;4;6;5;0,00
1;2;19;4;6;14;0,00
1;2;19;4;6;13;0,00
1;2;19;4;6;2;0,12
1;2;19;4;6;9;0,12
1;2;19;4;6;12;0,13
1;2;19;4;6;1;0,00
1;2;19;4;6;8;0,00
1;2;19;4;6;11;0,00
1;2;19;4;6;4;79,89
1;2;19;4;6;15;6,88
1;2;19;4;6;18;6,20
1;2;19;4;6;19;5,94
1;2;19;9;41;16;17,75
1;2;19;36;55;-1;60,00
1;2;19;44;11;6;0,00
1;2;19;47;12;3;96,34
1;2;20;14;21;6;0,00
1;2;20;36;28;3;98,14
1;2;20;46;54;-1;50,00
1;2;20;48;19;5;0,00
1;2;20;48;19;14;5,00
1;2;20;48;19;13;0,00
1;2;20;48;19;2;0,13
1;2;20;48;19;9;0,12
1;2;20;48;19;12;0,13
1;2;20;48;19;1;0,00
1;2;20;48;19;8;0,00
1;2;20;48;19;11;0,00
1;2;20;48;19;4;85,93
1;2;20;48;19;15;5,54
1;2;20;48;19;18;5,67
1;2;20;48;19;19;5,41
1;2;20;58;0;16;17,75
1;2;21;2;53;16;13,75
1;2;21;6;57;3;93,29
1;2;21;12;33;5;0,00
1;2;21;12;33;14;9,00
1;2;21;12;33;13;0,00
1;2;21;12;33;2;0,16
1;2;21;12;33;9;0,16
1;2;21;12;33;12;0,15
1;2;21;12;33;1;0,00
1;2;21;12;33;8;0,00
1;2;21;12;33;11;0,00
1;2;21;12;33;4;76,00
1;2;21;12;33;15;2,98
1;2;21;12;33;18;3,27
1;2;21;12;33;19;3,38
1;2;21;12;35;-1;60,00
1;2;21;53;16;6;22,00
1;2;22;1;39;6;0,00
1;2;22;7;10;-1;60,00
1;2;22;7;19;3;92,48
1;2;22;25;1;16;11,22
1;2;22;38;14;5;65,00
1;2;22;38;14;14;0,00
1;2;22;38;14;13;63,00
1;2;22;38;14;2;0,08
1;2;22;38;14;9;0,08
1;2;22;38;14;12;0,09
1;2;22;38;14;1;0,00
1;2;22;38;14;8;0,00
1;2;22;38;14;11;0,00
1;2;22;38;14;4;83,91
1;2;22;38;14;15;-0,85
1;2;22;38;14;18;-0,82
1;2;22;38;14;19;-0,83
1;2;23;1;19;-1;70,00
1;2;23;24;15;16;7,94
1;2;23;36;52;6;0,00
1;2;23;38;26;5;17,00
1;2;23;38;26;14;13,00
1;2;23;38;26;13;19,00
1;2;23;38;26;2;0,20
1;2;23;38;26;9;0,22
1;2;23;38;26;12;0,22
1;2;23;38;26;1;0,00
1;2;23;38;26;8;0,00
1;2;23;38;26;11;0,00
1;2;23;38;26;4;75,86
1;2;23;38;26;15;-3,97
1;2;23;38;26;18;-3,79
1;2;23;38;26;19;-4,00
1;2;23;40;26;3;86,87
1;3;0;29;4;5;39,00
1;3;0;29;4;14;36,00
1;3;0;29;4;13;47,00
1;3;0;29;4;2;0,17
1;3;0;29;4;9;0,17
1;3;0;29;4;12;0,18
1;3;0;29;4;1;0,00
1;3;0;29;4;8;0,00
1;3;0;29;4;11;0,00
1;3;0;29;4;4;86,09
1;3;0;29;4;15;-5,62
1;3;0;29;4;18;-5,81
1;3;0;29;4;19;-6,19
1;3;0;36;35;3;87,89
1;3;0;41;53;-1;50,00
1;3;0;49;16;16;6,71
1;3;0;57;3;6;27,00
1;3;1;6;5;5;121,00
1;3;1;6;5;14;9,00
1;3;1;6;5;13;119,00
1;3;1;6;5;2;0,09
1;3;1;6;5;9;0,08
1;3;1;6;5;12;0,09
1;3;1;6;5;1;0,00
1;3;1;6;5;8;0,00
1;3;1;6;5;11;0,00
1;3;1;6;5;4;73,94
1;3;1;6;5;15;-4,92
1;3;1;6;5;18;-4,89
1;3;1;6;5;19;-4,80
1;3;1;11;51;16;3,67
1;3;1;28;3;3;83,09
1;3;1;40;40;6;0,00
1;3;1;44;30;-1;60,00
1;3;2;2;40;3;83,54
1;3;2;19;58;5;0,00
1;3;2;19;58;14;0,00
1;3;2;19;58;13;14,00
1;3;2;19;58;2;0,03
1;3;2;19;58;9;0,03
1;3;2;19;58;12;0,03
1;3;2;19;58;1;0,00
1;3;2;19;58;8;0,00
1;3;2;19;58;11;0,00
